Joint_angle	INT_1_STR_PRE_L	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_1_CON_PRE_R	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_1_STR_POST_L	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_1_CON_POST_R	INT_3_CON_POST_L	INT_4_CON_POST_L
90	90	90	90	90	90	90	90	90	90	90	90	90
89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5
89	89	89	89	89	89	89	89	89	89	89	89	89
88.5	88.5	88.5	88.5	88.5	88.5	88.5	88.5	88.5	88.5	88.5	88.5	88.5
88	88	88	88	88	88	88	88	88	88	88	88	88
87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5
87	87	87	87	87	87	87	87	87	87	87	87	87
86.5	86.5	86.5	86.5	86.5	86.5	86.5	86.5	86.5	86.5	86.5	86.5	86.5
86	86	86	86	86	86	86	86	86	86	86	86	86
85.5	85.5	85.5	85.5	85.5	85.5	85.5	85.5	85.5	85.5	85.5	85.5	85.5
85	85	85	85	85	85	85	85	85	85	85	85	85
84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5	84.5
84	84	84	84	84	84	84	84	84	84	84	84	84
83.5	83.5	83.5	83.5	83.5	83.5	83.5	83.5	83.5	83.5	83.5	83.5	83.5
83	83	83	83	83	83	83	83	83	83	83	83	83
82.5	82.5	82.5	82.5	82.5	82.5	82.5	82.5	82.5	82.5	82.5	82.5	82.5
82	82	82	82	82	82	82	82	82	82	82	82	82
81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5	81.5
81	81	81	81	81	81	81	81	81	81	81	81	81
80.5	80.5	80.5	80.5	80.5	80.5	80.5	80.5	80.5	80.5	80.5	80.5	80.5
80	80	80	80	80	80	80	80	80	80	80	80	80
79.5	79.5	79.5	79.5	79.5	79.5	79.5	79.5	79.5	79.5	79.5	79.5	79.5
79	79	79	79	79	79	79	79	79	79	79	79	79
78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5	78.5
78	78	78	78	78	78	78	78	78	78	78	78	78
77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5
77	77	77	77	77	77	77	77	77	77	77	77	77
76.5	76.5	76.5	76.5	76.5	76.5	76.5	76.5	76.5	76.5	76.5	76.5	76.5
76	76	76	76	76	76	76	76	76	76	76	76	76
75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5	75.5
75	75	75	75	75	75	75	75	75	75	75	75	75
74.5	74.5	74.5	74.5	74.5	74.5	74.5	74.5	74.5	74.5	74.5	74.5	74.5
74	74	74	74	74	74	74	74	74	74	74	74	74
73.5	73.5	73.5	73.5	73.5	73.5	73.5	73.5	73.5	73.5	73.5	73.5	73.5
73	73	73	73	73	73	73	73	73	73	73	73	73
72.5	72.5	72.5	72.5	72.5	72.5	72.5	72.5	72.5	72.5	72.5	72.5	72.5
72	72	72	72	72	72	72	72	72	72	72	72	72
71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5
71	71	71	71	71	71	71	71	71	71	71	71	71
70.5	70.5	70.5	70.5	70.5	70.5	70.5	70.5	70.5	70.5	70.5	70.5	70.5
70	70	70	70	70	70	70	70	70	70	70	70	70
69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5	69.5
69	69	69	69	69	69	69	69	69	69	69	69	69
68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5	68.5
68	68	68	68	68	68	68	68	68	68	68	68	68
67.5	67.5	67.5	67.5	67.5	67.5	67.5	67.5	67.5	67.5	67.5	67.5	67.5
67	67	67	67	67	67	67	67	67	67	67	67	67
66.5	66.5	66.5	66.5	66.5	66.5	66.5	66.5	66.5	66.5	66.5	66.5	66.5
66	66	66	66	66	66	66	66	66	66	66	66	66
65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5	65.5
65	65	65	65	65	65	65	65	65	65	65	65	65
64.5	64.5	64.5	64.5	64.5	64.5	64.5	64.5	64.5	64.5	64.5	64.5	64.5
64	64	64	64	64	64	64	64	64	64	64	64	64
63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5	63.5
63	63	63	63	63	63	63	63	63	63	63	63	63
62.5	62.5	62.5	62.5	62.5	62.5	62.5	62.5	62.5	62.5	62.5	62.5	62.5
62	62	62	62	62	62	62	62	62	62	62	62	62
61.5	61.5	61.5	61.5	61.5	61.5	61.5	61.5	61.5	61.5	61.5	61.5	61.5
61	61	61	61	61	61	61	61	61	61	61	61	61
60.5	60.5	60.5	60.5	60.5	60.5	60.5	60.5	60.5	60.5	60.5	60.5	60.5
60	60	60	60	60	60	60	60	60	60	60	60	60
59.5	59.5	59.5	59.5	59.5	59.5	59.5	59.5	59.5	59.5	59.5	59.5	59.5
59	59	59	59	59	59	59	59	59	59	59	59	59
58.5	58.5	58.5	58.5	58.5	58.5	58.5	58.5	58.5	58.5	58.5	58.5	58.5
58	58	58	58	58	58	58	58	58	58	58	58	58
57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5	57.5
57	57	57	57	57	57	57	57	57	57	57	57	57
56.5	56.5	56.5	56.5	56.5	56.5	56.5	56.5	56.5	56.5	56.5	56.5	56.5
56	56	56	56	56	56	56	56	56	56	56	56	56
55.5	55.5	55.5	55.5	55.5	55.5	55.5	55.5	55.5	55.5	55.5	55.5	55.5
55	55	55	55	55	55	55	55	55	55	55	55	55
54.5	54.5	54.5	54.5	54.5	54.5	54.5	54.5	54.5	54.5	54.5	54.5	54.5
54	54	54	54	54	54	54	54	54	54	54	54	54
53.5	53.5	53.5	53.5	53.5	53.5	53.5	53.5	53.5	53.5	53.5	53.5	53.5
53	53	53	53	53	53	53	53	53	53	53	53	53
52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5
52	52	52	52	52	52	52	52	52	52	52	52	52
51.5	51.5	51.5	51.5	51.5	51.5	51.5	51.5	51.5	51.5	51.5	51.5	51.5
51	51	51	51	51	51	51	51	51	51	51	51	51
50.5	50.5	50.5	50.5	50.5	50.5	50.5	50.5	50.5	50.5	50.5	50.5	50.5
50	50	50	50	50	50	50	50	50	50	50	50	50
49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5	49.5
49	49	49	49	49	49	49	49	49	49	49	49	49
48.5	48.5	48.5	48.5	48.5	48.5	48.5	48.5	48.5	48.5	48.5	48.5	48.5
48	48	48	48	48	48	48	48	48	48	48	48	48
47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5
47	47	47	47	47	47	47	47	47	47	47	47	47
46.5	46.5	46.5	46.5	46.5	46.5	46.5	46.5	46.5	46.5	46.5	46.5	46.5
46	46	46	46	46	46	46	46	46	46	46	46	46
45.5	45.5	45.5	45.5	45.5	45.5	45.5	45.5	45.5	45.5	45.5	45.5	45.5
45	45	45	45	45	45	45	45	45	45	45	45	45
44.5	44.5	44.5	44.5	44.5	44.5	44.5	44.5	44.5	44.5	44.5	44.5	44.5
44	44	44	44	44	44	44	44	44	44	44	44	44
43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5
43	43	43	43	43	43	43	43	43	43	43	43	43
42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5	42.5
42	42	42	42	42	42	42	42	42	42	42	42	42
